2014/03/31,"[0.0, 0.0, -5.0, -1.0, 73.0, 54.0, 7.0, 1.0, 0.0, 0.0, 10.0, 57.0, 72.0, 11.0, 0.0, 1.0, 1.0, 8.0, 2.0, 7.0]","[-0.31839589999999984, 0.31681120833333332, -0.10336416666666665, 0.22490764166666669, -0.0036252499999999935, -0.24671171583333321, -0.86980505000000008, -0.074970458333333337, -0.35738309999999995, 0.035350089166666647, -0.039495808333333327, 0.18216878333333339, -0.34952149333333354, 0.096349650000000009, 0.46735664166666629, -0.17113311500000003, -0.1176865083333333, -0.061590346666666657, -0.65458935833333309, -0.038076416666666675, -0.24326047916666665, -0.3025174883333332, 0.22165456833333336, -0.015231333333333322, -0.18224104166666663, -0.7518493466666667, 0.078144241666666669, 0.046930825000000023, 0.28698145833333333, -0.44792240499999986, 1.9338231166666673, 0.36407706583333316, -0.026572169999999996, -0.21571545166666664, 0.10920758999999999, 0.042738103333333347, 0.23946410000000004, 0.21053138666666668, -0.061621782499999993, -0.26459814749999999, -0.22092499999999995, -0.25450832333333334, -0.22372672333333329, 0.11319330166666665, -0.1003265666666667, 0.28543096000000012, 0.016995355, 0.15923120000000004, -0.15678526916666666, 0.35078455833333338]"
2014/04/02,"[1.0, 0.0, -2.0, -1.0, 46.0, 49.0, 7.0, 0.0, 0.0, 0.0, 5.0, 49.0, 49.0, 5.0, 0.0, 0.0, 1.0, 14.0, 1.0, 3.0]","[-0.51793689999999981, 0.39623082500000006, -0.039885255000000008, 0.254800525, 0.05339544999999999, -0.11701729749999998, -0.98742765000000021, -0.016221775000000001, -0.42329024999999998, 0.032653822499999992, -0.011561724999999998, 0.16803104999999999, -0.39142325000000011, 0.14825265000000001, 0.491885075, -0.15585647499999997, -0.091992424999999975, 0.0076190499999999909, -0.75134652499999999, -0.028669650000000008, -0.20488988749999998, -0.24758505, 0.15611044499999996, 0.040504949999999998, -0.16732692500000004, -0.91730438999999997, 0.13889537499999996, -0.066197525000000007, 0.33937347500000004, -0.61438192499999977, 2.0745598499999995, 0.41191257749999988, -0.046758800000000003, -0.27677310499999991, 0.09429555000000002, 0.030914910000000011, 0.25601259999999992, 0.18104693999999999, 0.013796097500000031, -0.25511844250000004, -0.26897439999999995, -0.20366080000000003, -0.29989109999999991, 0.13639945499999995, -0.17100100000000004, 0.30683428000000007, -0.00087784500000001044, -0.012313549999999993, -0.29284325750000001, 0.37349497499999995]"
2014/04/03,"[0.0, 1.0, 4.0, -1.0, 22.0, 18.0, 8.0, 0.0, 1.0, 0.0, 3.0, 20.0, 21.0, 5.0, 1.0, 0.0, 0.0, 2.0, 4.0, 0.0]","[-0.14600160000000001, 0.42640600000000006, -0.15536149999999999, 0.17950700000000003, 0.46626399999999996, -0.02687419999999998, -0.918126, 0.21437360000000005, -0.49597499999999989, -0.037437810000000002, -0.18634279999999998, 0.40244570000000007, -0.33936810000000001, 0.28031320000000004, 0.25530993479999997, -0.419271, 0.029052200000000007, -0.30752400000000002, -0.78386540000000005, -0.26067000000000001, -0.66795490000000002, -0.37971499999999997, -0.095957719999999996, -0.35996939999999999, 0.07167430000000001, -0.93600240000000012, 0.38470900000000002, 0.077802999999999942, 0.44401371000000001, -0.40001139999999991, 2.1237509999999995, 0.12990439999999998, 0.056797169999999994, 0.14255800000000002, 0.036980999999999986, -0.015207999999999999, 0.23502339999999999, 0.21827430000000003, 0.022894400000000006, -0.19453909999999999, -0.068162999999999974, 0.026746400000000004, -0.51008034000000002, 0.18584499999999998, 0.047299599999999983, 0.18417539999999999, -0.0085090000000000166, -0.10900259999999999, -0.36729800000000001, 0.45405220000000002]"
2014/04/04,"[0.0, 1.0, 5.0, 1.0, 87.0, 75.0, 10.0, 0.0, 0.0, 0.0, 8.0, 81.0, 81.0, 12.0, 0.0, 2.0, 0.0, 7.0, 4.0, 9.0]","[-0.26991282051282045, 0.23532533333333333, 0.010105487179487187, 0.18891200000000002, 0.18398843076923077, -0.060859333333333335, -0.73199815384615385, 0.091341333333333344, -0.31607698461538458, -0.041752235897435916, -0.15536512820512821, 0.18465423076923082, -0.54010012820512832, 0.07286625641025643, 0.38836440379487175, -0.21534337179487187, 0.044354846153846168, -0.25213364615384615, -0.42919033333333334, -0.088760251282051283, -0.34348420512820521, -0.085699461538461544, 0.093835361538461559, -0.076333487179487181, 0.0055245641025641074, -0.89048956410256408, 0.15125656410256416, -0.0099242307692307876, 0.1659952333333333, -0.43185166666666658, 1.8257256923076921, 0.095187128205128202, -0.039872648717948739, -0.21007123076923079, 0.0163565128205128, -0.068919015384615381, 0.21782971794871797, 0.05505735897435899, 0.0053280487179487041, -0.1856483846153846, -0.11524820512820505, 0.012131153846153837, -0.30628236435897438, -0.073831058974358987, 0.043724999999999986, 0.14007823589743593, -0.027450820512820523, 0.11892371794871792, -0.16392622820512814, 0.45741341025641019]"
2014/04/05,"[1.0, 0.0, -4.0, -1.0, 88.0, 73.0, 9.0, 0.0, 1.0, 0.0, 10.0, 84.0, 77.0, 12.0, 0.0, 1.0, 1.0, 6.0, 3.0, 7.0]","[-0.27258829213483149, 0.33973821348314615, -0.073899616853932593, 0.24128988764044937, 0.1055115258426966, -0.14847879775280898, -0.7334484269662922, 0.015472044943820214, -0.3036575516853931, -0.036001003370786516, -0.11320016853932581, 0.1854361011235956, -0.42869726966292138, 0.004950662921348316, 0.38142043029213479, -0.206364679775281, 0.027442292134831469, -0.044738716853932582, -0.53809217977528068, -0.11248528876404493, -0.37947008988764064, -0.14597978651685395, 0.10489059438202249, 0.014509539325842711, -0.0046685617977528073, -0.85875710112359571, 0.11792638202247196, 0.053576706741573013, 0.22144411797752822, -0.3853474596292133, 1.8419691235955056, 0.13376224831460676, -0.036614941573033723, -0.18655866292134832, 0.071402595505617963, 0.0036837573033707753, 0.18732697752808986, 0.1263911640449438, -0.0028068898876404463, -0.1843352134831461, -0.10254340449438196, -0.045791471910112354, -0.27456199561797739, 0.028142457303370772, 0.042116975280898895, 0.1603788595505618, -0.003947453932584272, 0.055405155056179753, -0.11890026853932585, 0.41787903370786517]"
2014/04/06,"[1.0, 1.0, 3.0, 1.0, 14.0, 17.0, 9.0, 1.0, 0.0, 0.0, 6.0, 17.0, 12.0, 8.0, 0.0, 1.0, 0.0, 7.0, 2.0, 5.0]","[-0.37904784729729724, 0.28942710135135136, -0.071903593918918929, 0.35267932432432425, 0.065471970270270241, -0.12373200743243236, -0.78839702027027025, 0.10311542567567566, -0.28095990135135113, -0.060246521621621633, -0.094602628378378434, 0.14412560810810804, -0.49525681756756723, -0.0038352770270270362, 0.39287566216216219, -0.20065964729729727, 0.027998804054054038, -0.095366263513513502, -0.58056006081081057, 0.024452881756756733, -0.32308826351351355, -0.097103783783783773, 0.11006701554054055, 0.06300660135135136, -0.091739959459459453, -0.83154642567567583, 0.15963268851351359, -0.039768741216216222, 0.21604293175675668, -0.46836512639864847, 1.6993849324324324, 0.14607313175675682, -0.015460683783783796, -0.25631729729729741, 0.095442648648648626, -0.014150248648648634, 0.18450559459459451, 0.078817351351351289, 0.032327003378378377, -0.19416730675675667, -0.16773942567567562, -0.086977527027027018, -0.23893730824324325, -0.010855074324324348, -0.014491039189189175, 0.19617120067567564, -0.048911158108108109, 0.051771186486486535, -0.11507729324324324, 0.43518651351351334]"
2014/04/07,"[0.0, 1.0, 6.0, -1.0, 8.0, 2.0, 13.0, 1.0, 5.0, 0.0, 11.0, 6.0, 6.0, 6.0, 1.0, 1.0, 0.0, 6.0, 11.0, 5.0]","[-0.42308512249999997, 0.39194846249999987, -0.14033192374999992, 0.43104173124999984, 0.02305854374999999, -0.21741772562499992, -0.84356028125000004, 0.097923456249999999, -0.30447573312499981, -0.063750743750000005, -0.056470400000000018, 0.16790410624999991, -0.43527146875, -0.037481143750000015, 0.42419560375000015, -0.21456743374999993, -0.0082478125000000034, 0.022912613750000053, -0.73104381249999961, 0.036436339375000001, -0.39004013125000003, -0.16699863124999997, 0.12670487937499997, 0.082404137500000002, -0.11379318124999997, -0.76996470000000006, 0.20117053625000003, -0.03517148174999999, 0.31128211374999992, -0.4569867600875, 1.7140876000000005, 0.24452470437500001, -0.028177246249999999, -0.18620282500000024, 0.14580663874999994, 0.031494588749999955, 0.18103533749999998, 0.1622707825000001, 0.080673345625000004, -0.20714457125000005, -0.20040419999999992, -0.17547260000000009, -0.22955957500000007, 0.074207109999999965, -0.051516288750000007, 0.27245425999999984, -0.03758240500000002, -0.031261167499999999, -0.10618629125000005, 0.42166485624999972]"
2014/04/08,"[1.0, 0.0, -7.0, 1.0, 3.0, 1.0, 13.0, 1.0, 1.0, 0.0, 4.0, 2.0, 2.0, 9.0, 1.0, 1.0, 0.0, 7.0, 9.0, 2.0]","[-0.55370592500000004, 0.37110497499999962, -0.15720611875000004, 0.54248905624999977, 0.14892887499999991, -0.12890132625, -0.96010820000000052, 0.28776970000000013, -0.40100104249999974, -0.07963460624999999, -0.044878550000000003, 0.22600495624999994, -0.49939396874999986, 0.10499236250000002, 0.39571325737499996, -0.28946364500000005, -0.029333949999999998, -0.17538694187500004, -0.83102074999999953, 0.14947564437500011, -0.4361600750000002, -0.2041658375, 0.061374865000000021, -0.045267812500000004, -0.16688231249999988, -0.79032088750000029, 0.35933826687499992, -0.15165167174999999, 0.36714870124999988, -0.59159353500000023, 1.6245007625000003, 0.2641168750000002, 0.049462643749999993, -0.14088151250000008, 0.13063428874999994, -0.025293293749999991, 0.20176979374999987, 0.15884352499999993, 0.10702227625000002, -0.21005259249999991, -0.29900547000000016, -0.18840027500000006, -0.28614195125000019, 0.094212376249999952, -0.11412053375000004, 0.28559139999999961, -0.11086665625, -0.10573620374999999, -0.2135125449999998, 0.44615283124999988]"
2014/04/09,"[1.0, 1.0, 2.0, -1.0, 18.0, 14.0, 9.0, 0.0, 1.0, 0.0, 4.0, 15.0, 20.0, 9.0, 0.0, 0.0, 2.0, 9.0, 3.0, 1.0]","[-0.58549736744186065, 0.42133396589147237, -0.056518434108527076, 0.46148957829457377, 0.10812076744186043, -0.2448178682170542, -0.93246620155038795, 0.1934952015503876, -0.41180458914728663, -0.077825100775193862, -0.021957388372093007, 0.25407427906976743, -0.49461010852713205, 0.090510378294573673, 0.46467956883720907, -0.24658076124031011, -0.077407480620155109, -0.16836908139534887, -0.69146621705426314, 0.12846380775193797, -0.46217062790697672, -0.26340718604651175, 0.15922829302325583, -0.060169252713178287, -0.12516606976744202, -0.71533552713178294, 0.3864748821705426, -0.13178341519379838, 0.34941098449612412, -0.52406153488372098, 1.6174379069767439, 0.35979527674418604, -0.021985813953488361, -0.10543763565891474, 0.076491251162790666, -0.043603924031007768, 0.21293439534883726, 0.21777691627906964, 0.13503882170542642, -0.19346626356589156, -0.33808031162790719, -0.20143370576744193, -0.28555142790697685, 0.043553480620155058, -0.12429204961240312, 0.30463897674418594, -0.086710142635658904, -0.11620335193798444, -0.16449332325581381, 0.45425597286821684]"
2014/04/11,"[1.0, 0.0, -5.0, -1.0, 53.0, 40.0, 5.0, 0.0, 0.0, 0.0, 6.0, 48.0, 46.0, 6.0, 1.0, 2.0, 0.0, 11.0, 0.0, 5.0]","[-0.53713857865168535, 0.34689411910112328, -0.015162270786516857, 0.38643807078651676, 0.096637775280898827, -0.21619798651685385, -0.96217494943820259, 0.16992800561797755, -0.38310917977528047, -0.090956550561797786, -0.028854248314606739, 0.23658628651685421, -0.41922015168539295, 0.12332348146067414, 0.35341800674157287, -0.23917581123595519, -0.064786374719101134, -0.20530541629213489, -0.67833083146067374, 0.17574035056179779, -0.38124847752808999, -0.32265381460674158, 0.1003259280898877, -0.036659914606741582, -0.20476306741573033, -0.73437739887640485, 0.41799971348314596, -0.069205949438202199, 0.32147191685393256, -0.45769461235955056, 1.5516470168539334, 0.24270957415730338, 0.12286402808988769, -0.17087837865168548, 0.062329196629213476, -0.047060826966292123, 0.18510216853932585, 0.11018591797752814, 0.079600117977528112, -0.1432580617977528, -0.33354810786516886, -0.11040289487640445, -0.29184304494382052, 0.017695128089887661, -0.11767980337078658, 0.23078169325842698, -0.12645332865168543, -0.067465247191011185, -0.16890697808988758, 0.47631144382022461]"
