2014/03/31,"[1.6638396978378296, -6.329287528991699, 16.070785522460938, 3.459177017211914, -0.8780185580253601, -31.82666015625, 34.016319274902344, 10.47258186340332, -27.04364776611328, 6.058349132537842]"
2014/04/02,"[-3.224675416946411, -4.833470821380615, 7.650125026702881, 12.52099609375, -6.440084457397461, -28.339826583862305, 25.833768844604492, 13.527015686035156, -20.996564865112305, -0.27150800824165344]"
2014/04/03,"[0.19207006692886353, -1.1484391689300537, 4.49147891998291, 5.106161594390869, -2.3257029056549072, -9.939496040344238, 9.897370338439941, 5.047206878662109, -8.772065162658691, 0.4687499701976776]"
2014/04/04,"[1.2863423824310303, -5.134737491607666, 19.2018985748291, 15.439979553222656, -7.578221797943115, -39.06098556518555, 37.13962936401367, 18.21006965637207, -30.4903621673584, 4.587487697601318]"
2014/04/05,"[0.817241370677948, -6.76059103012085, 17.101091384887695, 11.18412971496582, -5.609999179840088, -37.50741195678711, 36.341636657714844, 16.521320343017578, -28.16879653930664, 6.27669095993042]"
2014/04/06,"[-2.383446216583252, 2.1701886653900146, 2.0346598625183105, 11.65202522277832, -6.896446228027344, -9.129765510559082, 6.0399370193481445, 7.061600208282471, -7.567187309265137, -5.2655110359191895]"
2014/04/07,"[-0.8459674715995789, 3.038604736328125, -0.2639128267765045, 9.303380966186523, -3.8501901626586914, -1.664828896522522, 0.6051607728004456, 4.152502059936523, -3.466578722000122, -4.125184535980225]"
2014/04/08,"[-3.6215991973876953, 3.28714919090271, -0.5688921809196472, 7.470870494842529, -4.13449764251709, -4.141024589538574, 2.5491602420806885, 2.5293095111846924, -3.9532880783081055, -8.287057876586914]"
2014/04/09,"[-0.9741712808609009, -0.9669880867004395, 3.428934335708618, 6.480781078338623, -4.261950969696045, -11.078492164611816, 9.901023864746094, 4.965520858764648, -10.174152374267578, -3.265515089035034]"
2014/04/11,"[-1.1944581270217896, -5.028295516967773, 8.69602108001709, 6.787973880767822, -3.980311393737793, -25.417709350585938, 24.38204002380371, 10.145118713378906, -20.009984970092773, 1.5181772708892822]"
2014/04/12,"[1.5790642499923706, -2.352938652038574, 7.98573637008667, 4.4192118644714355, -3.405141830444336, -13.060640335083008, 12.042339324951172, 5.853080749511719, -10.60656452178955, 1.5951931476593018]"
2014/04/13,"[-2.23215913772583, 1.5876489877700806, -1.636997103691101, 9.886045455932617, -7.202152729034424, -2.976468801498413, -1.1940758228302002, 4.2573561668396, -3.005579710006714, -7.676660060882568]"
2014/04/14,"[-0.7871116399765015, 2.061311721801758, -0.1907341480255127, 3.9519944190979004, -2.561612129211426, 0.023114940151572227, -0.8894681930541992, 1.5418874025344849, 0.020595822483301163, -2.6023502349853516]"
2014/04/16,"[2.063239097595215, -4.649694442749023, 14.507733345031738, 14.375531196594238, -9.328948974609375, -28.426822662353516, 23.9309139251709, 16.03055763244629, -19.70224380493164, 5.16504430770874]"
2014/04/18,"[-0.8957357406616211, 3.012571334838867, -0.3040808141231537, 6.744523048400879, -4.8160810470581055, 0.41654813289642334, -2.458193778991699, 2.402959108352661, -0.3117419183254242, -4.490124225616455]"
2014/04/19,"[-0.5900143384933472, -2.422306537628174, 10.42360782623291, 12.694868087768555, -6.04550838470459, -23.95282745361328, 21.739665985107422, 13.08068561553955, -17.040014266967773, 1.9786241054534912]"
2014/04/20,"[-1.353582501411438, 2.3778038024902344, 0.286262184381485, 7.010768890380859, -3.8983235359191895, -3.204594373703003, 1.8803545236587524, 3.1822311878204346, -3.839355230331421, -4.693477153778076]"
2014/04/21,"[-0.5310413837432861, -1.093726634979248, 6.152817249298096, 9.33727741241455, -6.287125587463379, -14.611770629882812, 11.898792266845703, 8.903108596801758, -9.434605598449707, 1.3074049949645996]"
2014/04/22,"[-2.8977088928222656, -2.297626495361328, 10.243623733520508, 13.539725303649902, -5.434044361114502, -28.4427547454834, 27.046297073364258, 14.5321626663208, -19.223846435546875, 2.1938369274139404]"
2014/04/23,"[-2.052391767501831, 0.25601449608802795, -2.2656145095825195, 5.564657688140869, -3.436473846435547, -2.028055191040039, 0.033220116049051285, 3.059241533279419, -1.407133936882019, -3.418684482574463]"
2014/04/24,"[-4.062755584716797, 1.2322412729263306, 1.1632180213928223, 9.123804092407227, -3.2500274181365967, -10.979443550109863, 9.800337791442871, 6.091556072235107, -8.827329635620117, -5.226746082305908]"
2014/04/25,"[2.624319553375244, -4.693353176116943, 12.95396614074707, -0.6174221634864807, 1.7365121841430664, -22.745222091674805, 27.03074836730957, 5.784829616546631, -21.56983757019043, 7.234065532684326]"
2014/04/26,"[1.3539211750030518, -5.431301593780518, 10.10276985168457, 4.608061790466309, -2.8000452518463135, -22.166166305541992, 21.96463394165039, 8.645214080810547, -18.099374771118164, 4.156240940093994]"
2014/04/27,"[-1.0467098951339722, 0.20774991810321808, 3.1488826274871826, 2.3544459342956543, -1.804345965385437, -7.750546455383301, 7.683704376220703, 2.7501916885375977, -5.898017406463623, -1.2036902904510498]"
2014/05/01,"[0.7204026579856873, -5.655602931976318, 12.516256332397461, 7.08132266998291, -4.56550407409668, -27.855878829956055, 26.925811767578125, 10.924943923950195, -22.379823684692383, 2.995969533920288]"
2014/05/02,"[-1.1460787057876587, -4.830934047698975, 7.245429039001465, 11.171512603759766, -7.567112445831299, -21.240234375, 15.572031021118164, 12.132041931152344, -12.659929275512695, -0.9090538620948792]"
2014/05/03,"[-1.5800576210021973, -1.2428542375564575, 3.465167284011841, 10.59139347076416, -6.554281711578369, -12.494524002075195, 8.455737113952637, 8.461073875427246, -7.507787227630615, -2.7131550312042236]"
2014/05/04,"[-4.26522159576416, 5.907477378845215, 2.7711379528045654, 11.667064666748047, -4.855185508728027, -9.20888614654541, 8.142778396606445, 5.58532190322876, -7.877537250518799, -7.794957160949707]"
2014/05/06,"[-2.965620517730713, -1.4289048910140991, 1.1455985307693481, 10.639016151428223, -7.058631896972656, -13.077956199645996, 9.365772247314453, 9.366240501403809, -7.348498821258545, -0.9681273102760315]"
2014/05/07,"[-1.0187430381774902, -1.2924920320510864, 4.310020446777344, 12.591784477233887, -6.400629043579102, -16.926504135131836, 15.039655685424805, 10.26732063293457, -15.49171257019043, -2.327460289001465]"
2014/05/08,"[-1.039292812347412, -0.6226455569267273, 1.1696969270706177, 2.9419755935668945, -2.5099737644195557, -4.987438201904297, 3.2309043407440186, 2.5043046474456787, -3.0576629638671875, -2.857492685317993]"
2014/05/09,"[-2.0549428462982178, 2.583451509475708, -1.9396710395812988, 5.957104206085205, -4.076891899108887, -1.17823326587677, 0.21306151151657104, 2.5260555744171143, -2.9475719928741455, -4.22738790512085]"
2014/05/10,"[-1.5071851015090942, -4.851619243621826, 7.744445323944092, 10.418041229248047, -6.033512592315674, -25.014944076538086, 21.968149185180664, 12.401222229003906, -18.481298446655273, 0.4889547526836395]"
2014/05/11,"[-3.1048498153686523, -0.26297542452812195, -0.9323258399963379, 6.341009140014648, -4.5643134117126465, -7.347511291503906, 4.680245876312256, 3.7012534141540527, -6.373086452484131, -6.904078960418701]"
2014/05/12,"[-1.9134043455123901, -4.470592975616455, 7.45974063873291, 10.990107536315918, -5.8204803466796875, -23.13389015197754, 19.478086471557617, 12.241786003112793, -13.512782096862793, 1.2909345626831055]"
2014/05/13,"[-4.179470062255859, 1.7403725385665894, 1.580848217010498, 8.570479393005371, -4.549830913543701, -10.824810981750488, 9.215802192687988, 5.198067665100098, -6.899786472320557, -5.324387073516846]"
2014/05/14,"[-2.413815975189209, 0.08939884603023529, 7.390686988830566, 12.233455657958984, -5.153141975402832, -19.991722106933594, 18.371326446533203, 10.491153717041016, -14.291015625, -1.2072255611419678]"
2014/05/15,"[-4.31541633605957, 4.144303321838379, 0.6232332587242126, 7.7226080894470215, -2.844278335571289, -6.806098461151123, 6.767796039581299, 3.2227861881256104, -5.85140323638916, -6.812142848968506]"
2014/05/16,"[-1.7500932216644287, -1.0997952222824097, 7.5719804763793945, 13.926944732666016, -8.006131172180176, -20.17774200439453, 16.438926696777344, 12.360647201538086, -12.841322898864746, -0.3880613148212433]"
2014/05/17,"[-0.31497594714164734, -1.4133683443069458, 2.41280198097229, 6.30711555480957, -4.2190752029418945, -8.858736991882324, 7.066765308380127, 4.837517261505127, -8.612415313720703, -2.9551031589508057]"
2014/05/18,"[-1.5830141305923462, 5.731655120849609, 0.21058505773544312, 9.32929515838623, -4.452174186706543, -0.20588499307632446, -1.165796160697937, 2.7814505100250244, -2.5697827339172363, -7.748989105224609]"
