"['3/1/14', '3/2/14']","[-0.6603169441223145, 0.16819721460342407, 0.04141751304268837, 0.31164631247520447, -0.24225640296936035, -0.3295779228210449, -0.40591660141944885, -0.3133041262626648, -0.1674213707447052, -0.302968829870224]"
"['3/2/14', '3/3/14']","[-0.8707104325294495, 0.14135895669460297, -0.08260773867368698, 0.3400461971759796, -0.03849974647164345, -0.21534910798072815, -0.6517847180366516, -0.20601700246334076, 0.047580018639564514, -0.1562609076499939]"
"['3/3/14', '3/4/14']","[-0.6009235382080078, 0.22121375799179077, -0.36352068185806274, 0.4176102876663208, -0.21788126230239868, 0.07581287622451782, -0.3742479085922241, -0.26562246680259705, 0.011539909988641739, 0.013363305479288101]"
"['3/4/14', '3/5/14']","[-0.6920576691627502, 0.4708057940006256, -0.26626497507095337, 0.552676796913147, -0.1042480543255806, 0.1342168003320694, -0.5706706643104553, -0.10525920242071152, -0.1121087372303009, 0.19742855429649353]"
"['3/5/14', '3/7/14']","[-0.5942052602767944, 0.05698741599917412, -0.11936146020889282, 0.2448255568742752, -0.06364499777555466, -0.2350170612335205, -0.3682483434677124, -0.24506671726703644, -0.017691045999526978, -0.06683269143104553]"
"['3/7/14', '3/8/14']","[-0.6446607708930969, 0.09687066823244095, -0.135153666138649, 0.038586460053920746, -0.1918126344680786, -0.10788896679878235, -0.6364569067955017, -0.1352415829896927, 0.04316075146198273, -0.02310028299689293]"
"['3/8/14', '3/9/14']","[-0.3173750340938568, 0.11978357285261154, -0.09115837514400482, 0.13175514340400696, -0.10372131317853928, -0.23703612387180328, -0.2921115756034851, -0.12244526296854019, -0.006033215671777725, -0.06954282522201538]"
"['3/9/14', '3/10/14']","[-0.8315280079841614, -0.09335643798112869, -0.23894985020160675, 0.32690635323524475, 0.14914970099925995, -0.34061330556869507, -0.7938035726547241, -0.2198246568441391, -0.16092784702777863, -0.3022306561470032]"
"['3/10/14', '3/11/14']","[-0.4764160215854645, 0.2163662165403366, -0.06404520571231842, -0.0048987288028001785, -0.085807666182518, -0.0923018530011177, -0.3464732766151428, -0.0784224197268486, 0.035860635340213776, 0.1151796281337738]"
"['3/11/14', '3/12/14']","[-0.2595388889312744, -0.06790012866258621, -0.1425849050283432, 0.12839849293231964, 0.053614821285009384, -0.19785840809345245, -0.2114759385585785, 0.02820894680917263, 0.13899818062782288, 0.12066064774990082]"
"['3/12/14', '3/13/14']","[-0.6430380344390869, -0.18061868846416473, 0.04675491526722908, 0.38400498032569885, 0.03170885518193245, -0.2546340227127075, -0.612625241279602, -0.03563474863767624, 0.10788622498512268, -0.26775628328323364]"
"['3/13/14', '3/15/14']","[-0.6153093576431274, 0.1410255879163742, 0.05019346624612808, 0.20373716950416565, -0.10255467146635056, -0.0710325613617897, -0.46083012223243713, -0.29172471165657043, -0.10735374689102173, -0.06610748171806335]"
"['3/15/14', '3/16/14']","[-0.5378917455673218, 0.04066551849246025, -0.4530993402004242, 0.24362917244434357, 0.050432316958904266, -0.5605296492576599, -0.4145883619785309, 0.008186433464288712, -0.0859706699848175, -0.133884996175766]"
"['3/16/14', '3/19/14']","[-0.7341542840003967, 0.16025479137897491, -0.05868639424443245, 0.285336434841156, -0.062377747148275375, -0.2828437387943268, -0.48894697427749634, -0.12248966842889786, 0.05109153687953949, -0.10192573070526123]"
"['3/19/14', '3/20/14']","[-0.41080230474472046, 0.10342013090848923, -0.0921459048986435, 0.2373443990945816, 0.002901030471548438, -0.06603487581014633, -0.2455071657896042, -0.22688046097755432, -0.0773375928401947, 0.12164080142974854]"
"['3/20/14', '3/21/14']","[-0.6422663927078247, 0.1983260214328766, -0.2209288328886032, 0.15741322934627533, 0.0006877777632325888, -0.2643982172012329, -0.5755934715270996, -0.10177893936634064, -0.15276598930358887, 0.06631171703338623]"
"['3/21/14', '3/25/14']","[-0.6591005921363831, 0.03990579769015312, -0.18197163939476013, 0.20215852558612823, -0.05093899741768837, -0.29896673560142517, -0.5072731971740723, -0.1312708556652069, 0.001069551333785057, -0.080791175365448]"
"['3/25/14', '3/26/14']","[-0.30961182713508606, -0.012716641649603844, -0.05082030966877937, 0.03745993971824646, -0.15267139673233032, -0.08860127627849579, -0.009705076925456524, 0.008964937180280685, -0.009967327117919922, -0.054464031010866165]"
"['3/26/14', '3/27/14']","[-0.8234012126922607, -0.03575098142027855, -0.1751544177532196, 0.11349597573280334, 0.05420646443963051, -0.28563085198402405, -0.6973564028739929, -0.06600666791200638, 0.06815586239099503, -0.08035576343536377]"
"['3/27/14', '3/29/14']","[-0.7320327758789062, 0.08563339710235596, -0.15594592690467834, 0.3489706516265869, -0.06488509476184845, -0.28489866852760315, -0.6962196826934814, -0.17559486627578735, 0.06746494770050049, -0.07370427250862122]"
"['3/29/14', '3/31/14']","[-0.7856355905532837, 0.18959453701972961, 0.010952876880764961, 0.4186033606529236, -0.013390498235821724, -0.1704958826303482, -0.6073780655860901, -0.2821086645126343, -0.04095401614904404, -0.05434470996260643]"
"['3/31/14', '4/2/14']","[-0.7878333926200867, 0.1981327086687088, 0.0358133502304554, 0.27100417017936707, -0.11566269397735596, -0.2775474190711975, -0.5154614448547363, -0.1441202312707901, 0.01982928067445755, -0.3699396252632141]"
"['4/2/14', '4/3/14']","[-1.0013803243637085, 0.10851318389177322, 0.02353917807340622, 0.2571031451225281, -0.264067143201828, -0.46393024921417236, -0.4416942894458771, -0.0865391194820404, 0.0175558403134346, -0.5941538214683533]"
"['4/3/14', '4/4/14']","[-0.7561474442481995, -8.124625310301781e-05, 0.31246572732925415, 0.22426317632198334, -0.05676873028278351, -0.2984764873981476, -0.3413877487182617, -0.24207645654678345, -0.14478297531604767, -0.37751877307891846]"
"['4/4/14', '4/5/14']","[-0.4999772310256958, -0.11120112240314484, 0.13788515329360962, 0.12539492547512054, -0.07349943369626999, -0.336899995803833, -0.2243482917547226, -0.11922470480203629, -0.08632113039493561, -0.29841500520706177]"
"['4/5/14', '4/6/14']","[-0.6398646235466003, -0.13939033448696136, 0.11054176837205887, 0.27226534485816956, -0.1237909123301506, -0.402488648891449, -0.24964803457260132, -0.03830576315522194, -0.07480743527412415, -0.3571504056453705]"
"['4/6/14', '4/7/14']","[-0.9509764909744263, -0.1253475844860077, 0.02592863142490387, 0.23395177721977234, -0.025959312915802002, -0.3200751543045044, -0.38243433833122253, 0.15319783985614777, -0.06367934495210648, -0.48565438389778137]"
"['4/7/14', '4/8/14']","[-0.7910927534103394, -0.010375246405601501, 0.30062538385391235, 0.308236688375473, -0.1689145267009735, -0.29306021332740784, -0.5091227889060974, -0.21351635456085205, 0.05357246845960617, -0.5338048934936523]"
"['4/8/14', '4/9/14']","[-0.8085816502571106, -0.06718743592500687, 0.01984965242445469, 0.1387534886598587, -0.09599203616380692, -0.3239549398422241, -0.3115461468696594, 0.06974872946739197, -0.007415488362312317, -0.5655995011329651]"
"['4/9/14', '4/11/14']","[-0.6803398728370667, -0.06079654023051262, 0.04586042836308479, 0.2386069893836975, -0.052936870604753494, -0.33714422583580017, -0.4066888689994812, -0.053862232714891434, -0.042203761637210846, -0.3103027939796448]"
"['4/11/14', '4/12/14']","[-0.47355297207832336, -0.15799736976623535, 0.020753460004925728, 0.15431120991706848, -0.07043679058551788, -0.25452718138694763, -0.4673139750957489, 0.03716396540403366, 0.012242291122674942, -0.1639300435781479]"
"['4/12/14', '4/13/14']","[-0.6667523384094238, -0.01716529205441475, 0.013968473300337791, 0.17142412066459656, -0.18772849440574646, -0.3562883734703064, -0.2475600391626358, -0.0565156415104866, -0.13299128413200378, -0.36558952927589417]"
"['4/13/14', '4/14/14']","[-0.6332560777664185, 0.0712764635682106, 0.2949411869049072, 0.17986860871315002, -0.051590446382761, -0.2808428406715393, -0.28654974699020386, -0.14109626412391663, -0.06425889581441879, -0.39657795429229736]"
"['4/14/14', '4/16/14']","[-0.43307265639305115, 0.0887049213051796, 0.0812382698059082, 0.24827437102794647, -0.05448610335588455, -0.18837298452854156, -0.34012261033058167, -0.1764005422592163, -0.10745060443878174, -0.17302437126636505]"
"['4/16/14', '4/18/14']","[-0.4599992334842682, 0.15634651482105255, -0.20458640158176422, 0.21463830769062042, -0.13600778579711914, -0.13187551498413086, -0.06886515021324158, -0.07173245400190353, -0.049402184784412384, -0.09186036884784698]"
"['4/18/14', '4/19/14']","[-0.5023694634437561, 0.025001991540193558, 0.10386373847723007, 0.15688744187355042, 0.1063791885972023, 0.1500777006149292, -0.3436175286769867, 0.11904820799827576, -0.03366292268037796, -0.1380198895931244]"
"['4/19/14', '4/20/14']","[-0.7667555212974548, 0.009028416126966476, -0.12018905580043793, 0.2228141874074936, -0.026807965710759163, -0.22594135999679565, -0.36469435691833496, -0.04455851763486862, -0.04270385950803757, -0.46072959899902344]"
"['4/20/14', '4/21/14']","[-0.6050224304199219, 0.20886121690273285, 0.3937937617301941, 0.16994214057922363, 0.17305797338485718, -0.658341646194458, -0.0031783345621079206, -0.3249618709087372, 0.003018483519554138, -0.5835396647453308]"
"['4/21/14', '4/22/14']","[-0.580019474029541, -0.006936429534107447, -0.004185799974948168, -0.008669557049870491, -0.01415538601577282, -0.21042391657829285, -0.46989598870277405, 0.01090290118008852, -0.08948063850402832, -0.35800161957740784]"
"['4/22/14', '4/23/14']","[-0.8686836361885071, 0.10883325338363647, 0.2630845010280609, 0.13472166657447815, -0.015449890866875648, -0.46522438526153564, -0.4469444453716278, 0.004249414429068565, -0.16198472678661346, -0.5716960430145264]"
"['4/23/14', '4/24/14']","[-0.27874499559402466, -0.021193066611886024, -0.018224244937300682, 0.058538276702165604, 0.07109855860471725, -0.2997457981109619, -0.06113273277878761, 0.17200469970703125, -0.2067670077085495, 0.010690603405237198]"
"['4/24/14', '4/25/14']","[-0.4994136393070221, 0.0036337417550385, -0.16918706893920898, -0.04637774080038071, 0.1198742613196373, -0.43942990899086, -0.5586308240890503, 0.14844606816768646, -0.03757508099079132, -0.1363086700439453]"
"['4/25/14', '4/26/14']","[-0.5964294075965881, 0.0712335929274559, -0.04101016744971275, 0.19181570410728455, -0.06313684582710266, -0.2607949376106262, -0.4240838587284088, -0.01537646260112524, -0.13038669526576996, -0.2558925747871399]"
"['4/26/14', '4/27/14']","[-0.7034083604812622, -0.04087740182876587, -0.01887126825749874, -0.03416292369365692, -0.2247430831193924, -0.5673304796218872, -0.3592835068702698, 0.1587768793106079, -0.0006723180413246155, -0.5512730479240417]"
"['4/27/14', '5/1/14']","[-0.5834217667579651, 0.07617001980543137, -0.17079469561576843, 0.1471487134695053, -0.10149025917053223, -0.2678166925907135, -0.49010899662971497, -0.08524423092603683, -0.038502201437950134, -0.13340479135513306]"
"['5/1/14', '5/2/14']","[-0.33245742321014404, -0.09715359658002853, 0.05593519285321236, 0.27511587738990784, -0.24885651469230652, -0.20580941438674927, -0.24628227949142456, 0.025658367201685905, 0.013488665223121643, -0.10999274253845215]"
"['5/2/14', '5/3/14']","[-0.6524788737297058, -0.09871800988912582, 0.000614918302744627, 0.0898057222366333, 0.0014830369036644697, -0.3561106324195862, -0.19243979454040527, 0.15695565938949585, -0.12868651747703552, -0.40761876106262207]"
"['5/3/14', '5/4/14']","[-0.43743595480918884, -0.047884587198495865, 0.33153074979782104, -0.05533180385828018, -0.002338114893063903, -0.48063942790031433, -0.25657346844673157, 0.0593816377222538, -0.0020067766308784485, -0.4861592650413513]"
"['5/4/14', '5/6/14']","[-0.6443102955818176, 0.0588727630674839, 0.03566030040383339, 0.0897405594587326, -0.02042466029524803, -0.22513458132743835, -0.4302016794681549, 0.006400079466402531, 0.03909255564212799, -0.2825196087360382]"
"['5/6/14', '5/7/14']","[-0.7489500641822815, 0.052330292761325836, 0.06641007959842682, 0.2569727599620819, -0.0932113453745842, -0.2201760709285736, -0.37167027592658997, 0.024440694600343704, -0.09608736634254456, -0.3059386610984802]"
"['5/7/14', '5/8/14']","[-0.6961383819580078, -0.1443057805299759, 0.20992229878902435, 0.44519904255867004, 0.1977226287126541, -0.45065197348594666, -0.4025399088859558, -0.12943969666957855, -0.30594706535339355, -0.29011309146881104]"
"['5/8/14', '5/9/14']","[-0.4818483591079712, -0.09519575536251068, 0.2608947157859802, 0.3143816590309143, 0.05373910441994667, -0.3629372715950012, -0.3161967396736145, -0.24294786155223846, -0.06567831337451935, -0.19722625613212585]"
"['5/9/14', '5/10/14']","[-0.5696792602539062, -0.13446968793869019, 0.030300330370664597, 0.04293088987469673, 0.13073702156543732, -0.5225085616111755, -0.2502375543117523, -0.05593157187104225, -0.12625932693481445, -0.289176881313324]"
"['5/10/14', '5/11/14']","[-0.6314933896064758, 0.1376226842403412, 0.09884805232286453, 0.16498678922653198, -0.05381548032164574, -0.47273361682891846, -0.6282656788825989, 0.07455670833587646, -0.13804137706756592, -0.5035343766212463]"
"['5/11/14', '5/12/14']","[0.013228943571448326, -0.12107854336500168, 0.2520245909690857, -0.00022817403078079224, 0.03405320644378662, -0.0036088095512241125, 0.22570085525512695, 0.061725083738565445, 0.013602107763290405, -0.11061102151870728]"
"['5/12/14', '5/13/14']","[-0.8420977592468262, -0.13539819419384003, 0.27138614654541016, 0.45554089546203613, -0.12062033265829086, -0.3372862935066223, -0.27847984433174133, -0.19433650374412537, -0.20009280741214752, -0.43429744243621826]"
"['5/13/14', '5/14/14']","[-0.6439367532730103, -0.059673208743333817, 0.2579194903373718, 0.1984226256608963, -0.14605161547660828, -0.31858882308006287, 0.05637895315885544, 0.04694361612200737, -0.06485561281442642, -0.480584979057312]"
"['5/14/14', '5/15/14']","[-0.7562508583068848, 0.07210692018270493, 0.12258753925561905, 0.25956040620803833, -0.10463304072618484, -0.49239808320999146, -0.3771109879016876, -0.33196496963500977, -0.17378541827201843, -0.47818493843078613]"
"['5/15/14', '5/16/14']","[-0.43550074100494385, 0.08755724877119064, 0.09314149618148804, 0.1231738030910492, -0.05546514317393303, -0.2296496033668518, -0.2909207344055176, -0.16971883177757263, -0.19420583546161652, -0.24211135506629944]"
"['5/16/14', '5/17/14']","[-0.7719837427139282, 0.11786378920078278, 0.5455242991447449, 0.24535782635211945, -0.027067117393016815, -0.4643538296222687, -0.25307050347328186, -0.19534963369369507, 0.02302560955286026, -0.6048504710197449]"
"['5/17/14', '5/18/14']","[-0.3867332637310028, -0.27505436539649963, 0.07567733526229858, 0.040551524609327316, -0.056058090180158615, -0.36442121863365173, -0.3745967447757721, 0.13917292654514313, 0.04652902111411095, -0.32680749893188477]"
"['5/18/14', '5/20/14']","[-0.35573244094848633, -0.15249615907669067, -0.3403104543685913, 0.05912839248776436, -0.13578906655311584, -0.23419079184532166, -0.4653896689414978, 0.06113221123814583, -0.059350721538066864, -0.16386115550994873]"
