"['3/1/14', '3/2/14']","[-0.749489426612854, 0.23706838488578796, -0.3337559700012207, 1.2795767784118652, 1.1961731910705566, 0.5141708850860596, -0.14872528612613678, 0.13242760300636292, 0.4780360758304596, 0.02084227465093136, 0.3622634708881378, -0.5964189767837524, 0.4677744507789612, 0.16171720623970032, -0.027642490342259407, 0.5523168444633484, -0.33501067757606506, 0.6855084300041199, 0.1815263330936432, 0.058111537247896194]"
"['3/2/14', '3/3/14']","[-0.8948152661323547, 0.07638055831193924, -0.11552352458238602, 1.4136817455291748, 1.6058731079101562, 0.3126600384712219, -0.3224417269229889, 0.3002631366252899, 0.6870607137680054, -0.147532120347023, 0.6472408771514893, -0.36206692457199097, 0.5333014726638794, 0.02791672572493553, 0.020408403128385544, 0.6623367667198181, -0.2791014015674591, 0.9011366963386536, 0.15880021452903748, -0.04527168348431587]"
"['3/3/14', '3/4/14']","[-0.4559393525123596, 0.05456096678972244, -0.08248724043369293, 0.6617504954338074, 0.6461519002914429, 0.03530891612172127, -0.10958167910575867, -0.041147369891405106, 0.10828928649425507, 0.07753809541463852, 0.06247226148843765, -0.23303411900997162, 0.1325724571943283, 0.2714604437351227, -0.07071460783481598, 0.19729691743850708, 0.008626646362245083, 0.4016517698764801, -0.044109735637903214, -0.13990060985088348]"
"['3/4/14', '3/5/14']","[-0.4122936725616455, 0.0958012267947197, -0.44707974791526794, 1.0460166931152344, 0.9578638672828674, 0.1416754424571991, -0.35528990626335144, -0.1263159066438675, 0.44997745752334595, 0.1704370379447937, -0.11746461689472198, -0.22840772569179535, 0.6561257243156433, 0.26711305975914, -0.2930634915828705, 0.23927944898605347, -0.10948401689529419, 0.508334755897522, -0.23054416477680206, -0.029593762010335922]"
"['3/5/14', '3/7/14']","[-0.7147880792617798, -0.011317823082208633, 0.1115272268652916, 1.0750435590744019, 1.1999961137771606, 0.16381584107875824, -0.18640469014644623, 0.32361453771591187, 0.588228702545166, 0.10077095776796341, 0.5351319313049316, -0.2427193969488144, 0.3707961142063141, 0.15192486345767975, 0.08025269955396652, 0.6095936894416809, -0.2206355482339859, 0.6828076243400574, -0.0790289044380188, 0.10166426748037338]"
"['3/7/14', '3/8/14']","[-0.6242174506187439, 0.10986852645874023, -0.10368984937667847, 0.8024305105209351, 0.9402225017547607, 0.38888993859291077, 0.05552760884165764, 0.1695871651172638, 0.5413334369659424, -0.1756497174501419, 0.11282706260681152, -0.2911774516105652, 0.2622131407260895, 0.2222190499305725, 0.14074698090553284, 0.3243771195411682, 0.005649438127875328, 0.6662557721138, 0.10202508419752121, -0.04176252707839012]"
"['3/8/14', '3/9/14']","[-0.5730450749397278, 0.04996763542294502, -0.11869698762893677, 0.9338513016700745, 1.1085513830184937, 0.06007818132638931, -0.1976289004087448, 0.18810223042964935, 0.4566517770290375, 0.0759991854429245, 0.17320691049098969, -0.2057042270898819, 0.4030551314353943, 0.2932264804840088, -0.05790397524833679, 0.5008798837661743, -0.0960000529885292, 0.6278324127197266, -0.08574239909648895, 0.016064228489995003]"
"['3/9/14', '3/10/14']","[-0.7894587516784668, 0.17541728913784027, -0.479769229888916, 1.796170949935913, 1.7696397304534912, 0.5196723937988281, -0.39150047302246094, 0.2396363765001297, 0.7387891411781311, -0.18006958067417145, 0.4728516936302185, -0.5980873703956604, 0.6096034049987793, 0.18986102938652039, -0.2777250409126282, 1.2177468538284302, -0.4546971917152405, 1.0127278566360474, 0.08706383407115936, 0.12607677280902863]"
"['3/10/14', '3/11/14']","[-0.4684087634086609, 0.0211726576089859, 0.21596285700798035, 0.7729979753494263, 0.8453623056411743, 0.34247520565986633, -0.08879384398460388, 0.23162879049777985, 0.5184954404830933, 0.07429855316877365, 0.5028430223464966, -0.18393681943416595, 0.40093958377838135, 0.18924438953399658, 0.055088285356760025, 0.48816874623298645, -0.2037716954946518, 0.2213813215494156, -0.12060608714818954, 0.3135927617549896]"
"['3/11/14', '3/12/14']","[-0.7462419867515564, 0.09933126717805862, 0.1081080213189125, 1.0671920776367188, 1.1547659635543823, 0.34243378043174744, 0.03127916157245636, 0.16894733905792236, 0.7583986520767212, -0.06143598631024361, 0.3858426511287689, -0.15661323070526123, 0.46873411536216736, 0.4284917712211609, 0.10259570926427841, 0.7086470723152161, 0.0012005995959043503, 0.7633280158042908, -0.08499174565076828, 0.03995538875460625]"
