date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2014-02-27,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.974210526316,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474,0.000526315789474
2014-02-28,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,0.808475835518,5.88235294118e-05,0.18870063507,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05
2014-03-01,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,0.294288207101,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,0.158754544922,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,0.115520309064,0.0450738750847,0.284564776165,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,0.0998427321078,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05,4.44444444445e-05
2014-03-02,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,0.0362281326912,0.361404962375,0.400274754159,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,0.19918075837,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05,6.32911392405e-05
2014-03-03,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,0.357885993577,0.232085575958,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,0.407460124454,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05,5.46448087432e-05
2014-03-04,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,0.999013091641,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05,2.01409869084e-05
2014-03-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,0.505164440688,0.130343282371,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,0.0193060598844,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,0.0119981985247,4.70588235294e-05,0.331070371473,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05,4.70588235294e-05
2014-03-06,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,0.110305308253,0.0692740831724,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,0.187866175433,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,0.021763866432,7.2202166065e-05,0.607541469237,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05,7.2202166065e-05
2014-03-07,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,0.0142868329542,0.300652873143,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,0.237911404597,0.421240269362,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,0.0235587504922,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05,5.22193211488e-05
2014-03-08,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,0.109837450513,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,0.120002268637,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,0.0123809093118,0.359624146017,0.277315645084,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,0.119268151866,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05,3.57142857143e-05
2014-03-09,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,0.0518559844048,0.492612556489,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,0.0364452815914,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,0.056924030199,0.309207631057,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,0.0504615984124,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05,5.6657223796e-05
2014-03-10,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,0.0463511018064,0.453767003102,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,0.49618110769,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05,7.87401574803e-05
