,original_date,previous_date,wins_today,wins_last_game,away_win,away_loss,away_team_hits,away_team_errors,away_team_hr,away_team_sb,away_team_so,home_win,home_loss,home_team_hits,home_team_errors,home_team_hr,home_team_sb,home_team_so,away_team_runs,home_team_runs,gameday_link,isHome,score_diff,opponentAngels,opponentAstros,opponentAthletics,opponentBlue.Jays,opponentBraves,opponentBrewers,opponentCardinals,opponentCubs,opponentD.backs,opponentDodgers,opponentGiants,opponentIndians,opponentMariners,opponentMarlins,opponentMets,opponentNationals,opponentPadres,opponentPhillies,opponentPirates,opponentRangers,opponentRays,opponentRed.Sox,opponentReds,opponentRockies,opponentRoyals,opponentTides,opponentTigers,opponentTwins,opponentWhite.Sox,opponentYankees,Prev_opponentAngels,Prev_opponentAstros,Prev_opponentAthletics,Prev_opponentBlue.Jays,Prev_opponentBraves,Prev_opponentBrewers,Prev_opponentCardinals,Prev_opponentCubs,Prev_opponentD.backs,Prev_opponentDodgers,Prev_opponentGiants,Prev_opponentIndians,Prev_opponentMariners,Prev_opponentMarlins,Prev_opponentMets,Prev_opponentNationals,Prev_opponentPadres,Prev_opponentPhillies,Prev_opponentPirates,Prev_opponentRangers,Prev_opponentRays,Prev_opponentRed.Sox,Prev_opponentReds,Prev_opponentRockies,Prev_opponentRoyals,Prev_opponentTides,Prev_opponentTigers,Prev_opponentTwins,Prev_opponentWhite.Sox,Prev_opponentYankees
54,5/9/14,5/8/14,1,1,18,14,9,0,1,0,4,15,20,9,0,0,2,9,3,1,2014_05_08_balmlb_tbamlb_1,-1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
55,5/10/14,5/9/14,1,1,11,25,6,0,1,1,7,19,14,8,1,2,0,6,3,4,2014_05_09_houmlb_balmlb_1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,5/11/14,5/10/14,0,1,11,26,11,0,1,4,5,20,14,13,1,2,0,9,4,5,2014_05_10_houmlb_balmlb_1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,5/12/14,5/11/14,0,0,12,26,11,0,2,0,8,20,15,8,0,0,0,9,5,2,2014_05_11_houmlb_balmlb_1,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5/13/14,5/12/14,0,0,22,12,5,1,1,1,4,20,16,6,0,0,0,9,4,1,2014_05_12_detmlb_balmlb_1,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
59,5/14/14,5/13/14,0,0,23,12,6,0,2,1,7,20,17,7,0,1,0,10,4,1,2014_05_13_detmlb_balmlb_1,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,5/15/14,5/14/14,1,0,24,12,9,0,1,3,6,20,18,9,1,1,0,6,7,5,2014_05_14_detmlb_balmlb_1,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61,5/16/14,5/15/14,1,1,21,18,10,0,1,0,4,20,20,7,0,0,0,13,2,1,2014_05_15_balmlb_kcamlb_1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,5/17/14,5/16/14,0,1,22,18,8,0,1,0,3,20,21,5,1,0,0,2,4,0,2014_05_16_balmlb_kcamlb_1,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,5/18/14,5/17/14,0,0,22,19,3,1,0,0,1,21,21,4,0,0,2,7,0,1,2014_05_17_balmlb_kcamlb_1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64,5/20/14,5/18/14,1,0,22,20,12,0,1,0,8,22,21,11,0,2,1,3,6,8,2014_05_18_balmlb_kcamlb_1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65,5/21/14,5/20/14,0,1,23,20,12,0,4,0,9,18,26,10,0,1,0,6,9,2,2014_05_20_balmlb_pitmlb_1,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,5/22/14,5/21/14,0,0,23,21,12,0,1,1,6,19,26,13,1,0,0,9,8,9,2014_05_21_balmlb_pitmlb_1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,5/23/14,5/22/14,1,0,23,25,14,2,0,0,0,23,22,13,0,0,0,0,8,7,2014_05_22_clemlb_balmlb_1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,5/24/14,5/23/14,0,1,23,26,7,1,1,1,1,24,22,14,0,2,0,7,4,8,2014_05_23_clemlb_balmlb_1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,5/25/14,5/24/14,1,0,24,26,11,1,1,1,11,24,23,8,1,0,0,7,9,0,2014_05_24_clemlb_balmlb_1,1,-9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,5/26/14,5/25/14,1,1,24,27,5,1,0,0,11,25,23,9,0,2,2,8,2,4,2014_05_25_clemlb_balmlb_1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,5/27/14,5/26/14,0,1,26,23,14,1,2,0,9,30,22,11,0,2,0,6,7,6,2014_05_26_balmlb_milmlb_1,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,5/28/14,5/27/14,0,0,26,24,7,1,2,0,9,31,22,12,1,3,0,11,6,7,2014_05_27_balmlb_milmlb_1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,5/29/14,5/28/14,0,0,26,25,9,0,2,0,2,32,22,10,1,1,2,10,3,8,2014_05_28_balmlb_milmlb_1,-1,-5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,5/30/14,5/29/14,0,0,26,26,7,2,0,0,9,23,32,5,0,1,2,12,1,3,2014_05_29_balmlb_houmlb_1,-1,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,5/31/14,5/30/14,1,0,26,27,5,0,0,0,5,24,32,5,0,0,1,3,1,2,2014_05_30_balmlb_houmlb_1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,6/1/14,5/31/14,1,1,27,27,8,1,1,0,6,24,33,5,0,0,0,7,4,1,2014_05_31_balmlb_houmlb_1,-1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,6/3/14,6/1/14,1,1,28,27,12,0,2,2,12,24,34,8,0,1,0,7,9,4,2014_06_01_balmlb_houmlb_1,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,6/4/14,6/3/14,1,1,29,27,17,0,2,0,7,29,29,7,0,2,0,4,8,3,2014_06_03_balmlb_texmlb_1,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79,6/5/14,6/4/14,0,1,30,27,13,1,2,0,9,29,30,11,2,2,0,4,6,5,2014_06_04_balmlb_texmlb_1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,6/6/14,6/5/14,0,0,30,28,8,3,2,1,4,30,30,13,0,1,2,7,6,8,2014_06_05_balmlb_texmlb_1,-1,-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,6/7/14,6/6/14,1,0,38,23,10,0,2,2,9,30,29,13,1,2,0,11,4,3,2014_06_06_oakmlb_balmlb_1,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,6/8/14,6/7/14,0,1,38,24,7,0,1,0,11,31,29,7,1,2,0,9,3,6,2014_06_07_oakmlb_balmlb_1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,6/9/14,6/8/14,1,0,39,24,10,0,1,0,7,31,30,6,1,0,0,5,11,1,2014_06_08_oakmlb_balmlb_1,1,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,6/10/14,6/9/14,0,1,28,35,3,0,0,0,8,32,30,8,0,3,0,6,0,4,2014_06_09_bosmlb_balmlb_1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,6/11/14,6/10/14,1,0,29,35,8,0,0,0,9,32,31,2,1,0,0,4,1,0,2014_06_10_bosmlb_balmlb_1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
86,6/12/14,6/11/14,1,1,29,36,4,0,0,0,10,33,31,9,1,1,1,8,0,6,2014_06_11_bosmlb_balmlb_1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
87,6/13/14,6/12/14,0,1,39,29,7,0,0,1,6,34,31,9,0,1,0,6,2,4,2014_06_12_tormlb_balmlb_1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,6/14/14,6/13/14,1,0,40,29,4,0,1,0,7,34,32,9,1,0,0,3,4,0,2014_06_13_tormlb_balmlb_1,1,-4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,6/15/14,6/14/14,0,1,40,30,9,1,0,1,4,35,32,7,0,1,0,7,2,3,2014_06_14_tormlb_balmlb_1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,6/16/14,6/15/14,0,0,41,30,12,0,0,0,10,35,33,9,0,1,0,0,5,2,2014_06_15_tormlb_balmlb_1,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,6/17/14,6/16/14,1,0,35,34,8,0,2,0,5,28,43,9,0,3,0,9,4,5,2014_06_16_balmlb_tbamlb_1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
92,6/18/14,6/17/14,1,1,36,34,8,1,2,0,8,28,44,11,0,2,0,9,7,5,2014_06_17_balmlb_tbamlb_1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
93,6/20/14,6/18/14,0,1,37,34,7,1,1,0,8,28,45,5,2,0,0,6,2,0,2014_06_18_balmlb_tbamlb_1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
94,6/21/14,6/20/14,1,0,37,35,9,0,0,0,4,39,33,11,2,1,3,10,3,5,2014_06_20_balmlb_nyamlb_1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,6/22/14,6/21/14,1,1,38,35,9,0,4,0,6,39,34,7,1,1,0,8,6,1,2014_06_21_balmlb_nyamlb_1,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,6/23/14,6/22/14,1,1,39,35,12,1,2,0,3,39,35,4,2,0,0,7,8,0,2014_06_22_balmlb_nyamlb_1,-1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,6/24/14,6/23/14,0,1,35,42,8,0,1,0,7,40,35,15,0,3,0,3,4,6,2014_06_23_chamlb_balmlb_1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
98,6/25/14,6/24/14,1,0,36,42,11,0,1,2,8,40,36,9,1,1,0,3,4,2,2014_06_24_chamlb_balmlb_1,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
99,6/27/14,6/25/14,0,1,36,43,11,0,1,2,6,41,36,12,0,1,0,12,4,5,2014_06_25_chamlb_balmlb_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,6/28/14,6/27/14,0,1,33,49,5,0,1,0,7,42,37,10,0,2,0,3,1,4,2014_06_27_tbamlb_balmlb_2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
102,6/29/14,6/28/14,0,0,34,49,10,0,3,0,9,42,38,8,1,2,0,10,5,4,2014_06_28_tbamlb_balmlb_1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103,6/30/14,6/29/14,1,0,35,49,18,0,5,0,10,42,39,13,0,2,1,5,12,7,2014_06_29_tbamlb_balmlb_1,1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104,7/1/14,6/30/14,1,1,37,45,4,2,0,0,4,43,39,10,1,4,0,9,1,7,2014_06_30_texmlb_balmlb_1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,7/2/14,7/1/14,1,1,37,46,10,2,0,0,4,44,39,8,0,3,0,6,3,8,2014_07_01_texmlb_balmlb_1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106,7/3/14,7/2/14,1,1,37,47,8,0,0,0,5,45,39,8,1,2,0,7,4,6,2014_07_02_texmlb_balmlb_1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
107,7/5/14,7/3/14,0,1,37,48,7,0,1,0,8,46,39,12,0,0,4,7,2,5,2014_07_03_texmlb_balmlb_1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,7/6/14,7/5/14,1,1,47,40,16,0,2,1,8,39,48,6,2,1,0,13,7,4,2014_07_05_balmlb_bosmlb_2,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
110,7/7/14,7/6/14,1,1,48,40,16,0,0,0,16,39,49,15,2,1,1,5,7,6,2014_07_06_balmlb_bosmlb_1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111,7/9/14,7/7/14,0,1,49,40,15,0,4,0,10,48,40,7,0,1,0,12,8,2,2014_07_07_balmlb_wasmlb_1,-1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,7/10/14,7/9/14,1,0,49,40,7,0,3,1,4,49,41,7,0,1,0,5,6,2,2014_07_09_wasmlb_balmlb_1,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,7/11/14,7/10/14,1,1,49,41,10,1,1,0,9,50,41,6,0,1,0,9,3,4,2014_07_10_wasmlb_balmlb_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,7/12/14,7/11/14,0,1,46,46,7,0,2,0,7,51,41,5,0,0,0,6,2,3,2014_07_11_nyamlb_balmlb_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,7/13/14,7/12/14,1,0,47,46,9,0,0,0,12,51,42,5,0,0,1,5,3,0,2014_07_12_nyamlb_balmlb_1,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,7/18/14,7/13/14,0,1,47,47,4,0,1,0,4,52,42,5,0,1,0,2,1,3,2014_07_13_nyamlb_balmlb_1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,7/19/14,7/18/14,1,0,52,43,7,0,2,0,8,60,36,7,0,2,0,4,4,5,2014_07_18_balmlb_oakmlb_1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,7/20/14,7/19/14,0,1,53,43,13,0,3,2,7,60,37,8,1,1,0,7,8,4,2014_07_19_balmlb_oakmlb_1,-1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,7/21/14,7/20/14,1,0,53,44,3,1,0,0,10,61,37,15,3,0,0,11,2,10,2014_07_20_balmlb_oakmlb_1,-1,-8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,7/22/14,7/21/14,1,1,54,44,6,1,2,0,11,59,39,8,0,0,0,15,4,2,2014_07_21_balmlb_anamlb_1,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,7/23/14,7/22/14,0,1,55,44,7,0,1,0,7,59,40,3,0,1,0,9,4,2,2014_07_22_balmlb_anamlb_1,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,7/24/14,7/23/14,1,0,55,45,6,2,0,1,5,60,40,7,0,0,1,8,2,3,2014_07_23_balmlb_anamlb_1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,7/25/14,7/24/14,1,1,56,45,8,0,1,1,4,53,49,5,0,0,1,9,4,0,2014_07_24_balmlb_seamlb_1,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
