0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,0.064214415,0.300408782,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,0.295413426,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,0.336812692,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05,6.85E-05
6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,0.452217633,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,0.070376322,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,0.474175527,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05,6.87E-05
7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,0.010180798,0.216632621,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,0.147747281,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,0.516707801,7.22E-05,7.22E-05,7.22E-05,0.085276822,7.22E-05,7.22E-05,0.020277782,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05,7.22E-05
0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.033139596,0.190668462,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.133333296,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.018444106,0.575116587,0.000101993,0.000101993,0.000101993,0.044810261,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993,0.000101993
0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.275035082,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.067196726,0.551170702,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.101974375,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503,0.000100503
7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,0.431364863,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,0.56484067,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05,7.91E-05
6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05,0.019057307,0.255931478,6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05,0.0453329,6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05,0.016755584,0.501268819,6.07E-05,6.07E-05,6.07E-05,0.068231716,6.07E-05,6.07E-05,0.090814082,6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05,6.07E-05
4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,0.318298262,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,0.259510911,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,0.187415617,0.21039587,4.21E-05,4.21E-05,4.21E-05,0.022484604,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05
5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,0.042907772,0.327614212,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,0.043143153,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,0.477853804,5.22E-05,5.22E-05,5.22E-05,0.077310796,5.22E-05,5.22E-05,0.028872614,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05
8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,0.114321493,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,0.087581531,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,0.708571417,8.15E-05,8.15E-05,8.15E-05,0.085777343,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05,8.15E-05
2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,0.003707031,2.26E-05,0.420284644,2.26E-05,2.26E-05,2.26E-05,0.546324915,2.26E-05,2.26E-05,0.02864369,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05,2.26E-05
6.24E-05,6.24E-05,6.24E-05,6.24E-05,6.24E-05,6.24E-05,6.24E-05,6.24E-05,0.006364978,0.123368027,6.24E-05,6.24E-05,6.24E-05,6.24E-05,6.24E-05,6.24E-05,0.040505726,6.24E-05,0.101716582,6.24E-05,6.24E-05,6.24E-05,6.24E-05,6.24E-05,0.295037701,0.139704311,6.24E-05,6.24E-05,6.24E-05,0.250606465,6.24E-05,6.24E-05,0.040076991,6.24E-05,6.24E-05,6.24E-05,6.24E-05,6.24E-05,6.24E-05,6.24E-05,6.24E-05,6.24E-05,6.24E-05,6.24E-05,6.24E-05,6.24E-05,6.24E-05,6.24E-05,6.24E-05,6.24E-05
