dates,lda
3/13/14,"[6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 0.0642144146472, 0.300408782498, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 0.295413425738, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 0.33681269218599996, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05, 6.84931506849e-05]"
3/15/14,"[6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 0.452217633181, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 0.07037632249445956, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 0.474175526701, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05, 6.87344175302e-05]"
3/16/14,"[7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 0.0101807984302, 0.216632620987, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 0.1477472806, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 0.516707800731, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 0.0852768217427, 7.2202166065e-05, 7.2202166065e-05, 0.0202777822025, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05, 7.2202166065e-05]"
3/19/14,"[0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.0331395962012571, 0.19066846150945713, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.1333332964007045, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.018444106380974733, 0.575116586907, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.04481026086479043, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999, 0.00010199299400149999]"
3/20/14,"[0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.27503508152899997, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.0671967256776, 0.551170701935, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.10197437528100001, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563, 0.000100502512563]"
3/21/14,"[7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 0.431364863304, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 0.564840670293, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05, 7.90513833992e-05]"
3/25/14,"[6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 0.019057307153272047, 0.2559314775860909, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 0.04533289957431652, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 0.01675558387309705, 0.50126881887375, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 0.06823171565643538, 6.0653842907425e-05, 6.0653842907425e-05, 0.0908140820381659, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05, 6.0653842907425e-05]"
3/26/14,"[4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 0.31829826165999997, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 0.25951091121, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 0.187415616588, 0.210395869528, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 0.022484604171099997, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05, 4.21052631579e-05]"
3/27/14,"[5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 0.042907771647, 0.327614211555, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 0.043143152833099996, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 0.47785380397, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 0.0773107959872, 5.22193211488e-05, 5.22193211488e-05, 0.0288726138774, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05, 5.22193211488e-05]"
3/29/14,"[8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 0.11432149300207031, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 0.0875815310630496, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 0.7085714167924999, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 0.08577734313757031, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05, 8.14829566199e-05]"
