"original_date","home_team_name","away_team_name","away_win","away_loss","away_team_hits","away_team_errors","away_team_hr","away_team_sb","away_team_so","home_win","home_loss","home_team_hits","home_team_errors","home_team_hr","home_team_sb","home_team_so","away_team_runs","home_team_runs","gameday_link","isHome","score_diff","opponent","wins","opponentAngels","opponentAstros","opponentAthletics","opponentBlue.Jays","opponentBraves","opponentBrewers","opponentCardinals","opponentCubs","opponentD.backs","opponentDodgers","opponentGiants","opponentIndians","opponentMariners","opponentMarlins","opponentMets","opponentNationals","opponentPadres","opponentPhillies","opponentPirates","opponentRangers","opponentRays","opponentRed.Sox","opponentReds","opponentRockies","opponentRoyals","opponentTides","opponentTigers","opponentTwins","opponentWhite.Sox","opponentYankees"
"2014/03/25","Twins","Orioles",12,8,6,1,"0","0","4",8,13,10,0,"0","1","6",1,4,"2014_03_25_balmlb_minmlb_1",-1,-3,"Twins",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2014/03/26","Red Sox","Orioles",13,8,11,0,"1","0","6",9,16,8,0,"2","0","5",5,4,"2014_03_26_balmlb_bosmlb_1",-1,1,"Red Sox",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2014/03/27","Orioles","Rays",16,6,9,0,"1","1","9",13,9,9,1,"0","0","7",4,3,"2014_03_27_tbamlb_balmlb_1",1,-1,"Rays",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2014/03/29","Tides","Orioles",1,0,8,0,"1","0","2",0,1,7,0,"0","1","5",4,3,"2014_03_29_balmlb_noraaa_1",-1,1,"Tides",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2014/03/31","Orioles","Red Sox",0,1,9,0,"1","0","9",1,0,6,0,"1","0","6",1,2,"2014_03_31_bosmlb_balmlb_1",1,1,"Red Sox",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2014/04/02","Orioles","Red Sox",1,1,10,1,"2","0","9",1,1,6,1,"1","0","7",6,2,"2014_04_02_bosmlb_balmlb_1",1,-4,"Red Sox",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2014/04/03","Orioles","Red Sox",2,1,14,0,"0","0","8",1,2,9,0,"0","0","8",4,3,"2014_04_03_bosmlb_balmlb_1",1,-1,"Red Sox",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2014/04/04","Tigers","Orioles",1,3,7,0,"0","1","3",3,0,17,1,"3","1","8",4,10,"2014_04_04_balmlb_detmlb_1",-1,-6,"Tigers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2014/04/05","Tigers","Orioles",1,4,10,0,"0","1","5",4,0,13,1,"1","2","5",6,7,"2014_04_05_balmlb_detmlb_1",-1,-1,"Tigers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2014/04/06","Tigers","Orioles",2,4,8,0,"1","0","6",4,1,5,0,"1","0","5",3,1,"2014_04_06_balmlb_detmlb_1",-1,2,"Tigers",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
