"wins_next","wins","score_diff","isHome","away_win","away_loss","away_team_hits","away_team_errors","away_team_hr","away_team_sb","away_team_so","home_win","home_loss","home_team_hits","home_team_errors","home_team_hr","home_team_sb","home_team_so","away_team_runs","home_team_runs"
1,1,9,1,0,1,8,2,"3","0","6",1,0,12,0,"2","1","10",3,12
1,0,-6,-1,9,10,8,1,"1","0","10",11,9,9,0,"3","0","8",3,9
0,1,2,1,47,47,4,0,"1","0","4",52,42,5,0,"1","0","2",1,3
1,0,-2,1,18,21,12,0,"1","0","6",17,20,10,0,"0","0","6",4,2
0,0,-3,1,4,1,7,0,"0","1","5",0,7,6,0,"0","0","8",3,0
0,0,-1,1,61,61,11,0,"0","0","8",62,59,5,0,"1","0","9",4,3
0,1,5,1,39,33,7,0,"2","0","8",40,28,19,1,"2","0","8",6,11
0,1,8,1,61,60,7,0,"2","0","5",67,53,18,1,"6","0","11",5,13
0,0,-1,-1,12,14,6,0,"2","0","6",18,11,11,0,"1","0","6",3,4
1,0,-3,1,70,65,7,0,"0","0","10",74,62,6,1,"0","0","6",5,2
0,1,1,-1,76,76,7,0,"2","0","7",78,74,10,0,"1","0","2",5,4
0,1,9,-1,76,62,14,1,"3","0","7",58,79,8,1,"1","1","7",11,2
1,1,8,1,64,67,4,2,"0","0","8",74,55,14,1,"5","0","4",1,9
1,1,1,-1,1,2,8,0,"1","0","9",0,1,7,1,"1","0","6",3,2
1,1,7,1,87,73,6,0,"0","0","5",79,81,15,1,"1","1","7",2,9
0,1,3,-1,89,73,7,0,"2","0","6",84,78,10,0,"1","0","8",5,2
1,0,-1,-1,73,76,9,0,"1","0","12",72,77,14,2,"2","1","5",6,7
0,0,-2,-1,30,28,8,3,"2","1","4",30,30,13,0,"1","2","7",6,8
0,1,2,1,61,58,6,0,"1","1","8",69,50,6,0,"2","0","5",3,5
0,1,2,1,5,3,6,0,"1","1","8",3,6,9,0,"1","1","9",1,3
1,1,2,1,24,27,5,1,"0","0","11",25,23,9,0,"2","2","8",2,4
0,1,5,1,75,71,4,0,"0","1","6",88,59,8,1,"0","0","12",0,5
0,1,3,-1,15,12,9,1,"1","0","13",12,15,4,0,"0","3","6",3,0
1,0,-5,1,51,54,9,0,"1","2","5",53,51,4,1,"1","0","5",6,1
0,0,-1,-1,42,38,5,0,"0","0","5",35,42,7,1,"1","0","9",0,1
1,1,2,-1,83,59,10,1,"2","0","8",69,75,12,0,"4","0","13",7,5
1,1,1,1,50,53,16,2,"3","0","5",52,50,11,0,"2","0","12",7,8
0,1,6,1,5,9,6,0,"1","0","15",3,11,12,2,"3","0","6",3,9
0,1,7,-1,54,51,14,0,"2","0","6",47,60,6,1,"0","0","8",9,2
1,1,2,1,37,47,8,0,"0","0","5",45,39,8,1,"2","0","7",4,6
0,1,2,-1,26,15,5,0,"1","0","7",19,24,9,0,"0","0","13",3,1
0,0,-1,1,68,88,12,0,"2","1","8",93,62,6,0,"0","1","8",3,2
1,1,4,1,2,6,6,2,"2","0","3",6,2,13,1,"1","0","12",3,7
1,1,6,1,77,73,4,1,"0","1","12",91,60,8,1,"2","0","10",2,8
1,1,2,-1,10,10,12,0,"4","0","12",11,10,16,0,"3","0","8",10,8
1,1,1,-1,96,66,5,1,"1","0","8",83,79,6,0,"0","1","4",1,0
0,1,2,1,51,69,3,3,"2","0","7",61,56,7,1,"1","0","4",2,4
0,0,-2,-1,7,8,5,1,"1","1","9",8,7,9,1,"2","2","6",2,4
1,0,-2,-1,47,35,8,0,"0","0","7",48,37,9,0,"2","0","8",5,7
1,0,-1,-1,42,39,4,1,"1","0","8",36,42,11,0,"0","1","10",2,3
0,1,6,-1,46,45,14,0,"2","0","8",45,46,14,0,"0","0","8",9,3
1,1,3,1,27,33,7,0,"0","0","9",28,30,10,0,"0","0","10",2,5
0,0,-4,-1,58,43,11,0,"1","0","10",38,63,12,0,"1","1","7",2,6
1,1,4,-1,72,52,9,1,"0","0","0",59,67,3,0,"0","0","0",5,1
1,1,1,1,46,53,9,0,"1","2","11",49,49,7,0,"1","1","8",1,2
1,0,-2,1,9,7,12,0,"2","4","6",8,13,10,3,"3","1","13",8,6
0,1,7,-1,23,20,12,0,"4","0","9",18,26,10,0,"1","0","6",9,2
0,0,-2,-1,7,1,9,0,"1","0","7",4,4,8,0,"0","3","10",2,4
0,0,-3,1,87,64,11,0,"2","0","9",82,69,6,0,"1","0","8",5,2
1,1,2,1,37,52,5,1,"0","0","7",51,36,12,1,"2","0","6",2,4
0,1,1,1,11,12,11,2,"0","0","6",12,11,8,0,"0","0","7",2,3
0,0,-1,-1,34,32,6,0,"1","1","4",23,45,5,1,"1","1","11",1,2
1,0,-1,-1,63,50,7,0,"0","0","9",51,63,4,0,"0","0","3",0,1
1,1,2,1,31,42,14,1,"1","1","2",44,30,14,0,"4","0","5",6,8
1,1,4,-1,1,0,8,0,"3","0","8",0,1,8,1,"1","0","11",6,2
1,0,-6,1,18,8,13,0,"1","0","11",14,10,8,0,"0","0","8",7,1
1,0,-1,1,7,3,15,1,"4","0","6",4,12,10,1,"1","1","2",10,9
1,0,-1,-1,52,43,7,0,"2","0","8",60,36,7,0,"2","0","4",4,5
0,1,5,-1,56,53,11,1,"2","1","6",58,51,5,1,"0","0","9",5,0
0,0,-1,-1,63,48,7,0,"1","0","7",49,63,7,0,"1","0","7",2,3
0,0,-3,1,41,30,12,0,"0","0","10",35,33,9,0,"1","0","0",5,2
0,1,1,1,62,46,7,0,"1","0","6",61,45,4,0,"0","1","7",2,3
1,0,-2,-1,37,35,9,0,"0","0","4",39,33,11,2,"1","3","10",3,5
1,0,-2,-1,10,5,5,0,"1","1","2",11,5,8,0,"1","0","12",2,4
1,1,2,1,51,66,17,0,"1","0","10",58,56,16,0,"3","0","15",6,8
1,1,1,1,76,72,6,0,"2","0","7",89,60,9,1,"0","0","10",2,3
1,1,1,1,8,8,9,0,"1","1","7",9,4,9,0,"0","0","9",3,4
0,1,1,-1,9,9,10,0,"0","0","9",9,11,11,0,"2","0","2",7,6
1,1,2,1,92,67,9,0,"0","0","5",78,81,8,0,"2","2","10",4,6
1,1,2,-1,38,34,14,0,"1","1","7",32,42,12,2,"1","0","9",8,6
1,1,1,1,15,20,6,0,"0","0","8",22,12,4,0,"1","0","8",0,1
1,1,2,-1,19,12,14,0,"2","0","12",8,24,6,1,"1","1","9",5,3
1,0,-5,1,11,11,11,0,"0","1","10",11,11,7,1,"0","0","5",5,0
1,0,-1,-1,36,26,13,1,"5","1","10",35,30,14,0,"2","1","15",9,10
0,0,-7,-1,76,77,2,0,"0","0","10",73,80,9,1,"0","0","10",0,7
0,1,1,1,64,91,4,1,"0","2","10",85,71,5,1,"1","0","11",1,2
1,0,-2,1,67,87,9,1,"3","0","6",92,61,10,3,"0","0","7",5,3
0,1,2,-1,11,15,12,1,"1","0","4",15,12,10,1,"1","0","9",4,2
0,1,1,1,14,17,5,0,"0","0","8",12,18,7,1,"1","1","11",2,3
0,1,5,1,33,28,11,0,"1","0","4",31,30,15,0,"3","0","9",4,9
0,1,1,-1,30,27,13,1,"2","0","9",29,30,11,2,"2","0","4",6,5
0,0,-5,-1,43,41,7,0,"1","0","7",45,39,11,0,"1","1","10",3,8
0,1,6,1,3,2,3,1,"0","1","8",3,2,9,0,"3","0","10",1,7
1,0,-2,1,24,12,9,0,"1","3","6",20,18,9,1,"1","0","6",7,5
1,1,1,1,37,51,8,0,"0","0","9",50,36,10,0,"1","0","4",2,3
0,0,-1,-1,63,66,9,0,"1","0","4",67,61,12,0,"1","0","7",3,4
1,1,2,-1,36,34,8,1,"2","0","8",28,44,11,0,"2","0","9",7,5
0,1,1,1,8,8,6,0,"1","0","4",10,5,5,0,"1","1","10",1,2
0,1,1,-1,37,26,5,0,"2","0","11",36,27,7,0,"1","0","13",3,2
1,1,1,1,33,39,10,0,"3","0","10",39,34,10,0,"1","0","9",3,4
1,1,3,-1,85,59,10,0,"3","1","9",63,82,8,0,"1","0","7",4,1
1,0,-2,1,34,28,10,0,"0","0","10",31,31,6,0,"0","0","7",5,3
1,0,-1,1,8,7,8,0,"0","1","4",8,4,7,1,"2","0","5",4,3
1,1,1,1,3,5,6,2,"0","0","9",4,4,7,1,"1","0","10",3,4
0,0,-8,-1,76,78,5,3,"0","0","10",74,80,8,0,"0","0","4",0,8
1,1,5,-1,29,27,17,0,"2","0","7",29,29,7,0,"2","0","4",8,3
0,0,-6,-1,7,6,4,3,"0","1","3",8,5,5,0,"0","1","7",1,7
1,1,6,1,29,36,4,0,"0","0","10",33,31,9,1,"1","1","8",0,6
1,0,-4,-1,44,45,10,0,"0","0","0",45,44,8,1,"0","0","0",3,7
1,1,1,-1,65,49,5,0,"1","0","8",61,55,4,0,"1","1","13",2,1
1,1,3,-1,6,5,13,1,"1","0","10",7,4,7,0,"0","1","8",4,1
0,0,-2,-1,76,79,5,1,"0","1","7",75,80,8,1,"1","0","8",0,2
0,0,-1,1,1,2,10,1,"2","1","9",2,4,6,0,"1","0","9",7,6
1,1,16,1,22,44,6,2,"1","1","7",33,31,17,1,"8","0","5",3,19
1,1,6,-1,71,52,12,0,"3","0","7",59,66,3,0,"0","0","11",8,2
1,0,-2,1,76,57,9,1,"3","0","4",72,61,8,0,"1","0","8",5,3
1,0,-3,1,30,42,15,1,"1","2","14",40,30,10,2,"2","0","7",10,7
0,0,-4,-1,65,70,4,0,"0","0","9",77,58,10,0,"1","0","9",1,5
0,0,-3,-1,73,53,5,1,"1","0","10",56,72,9,0,"2","0","7",1,4
0,1,1,1,63,43,4,0,"0","0","7",60,46,6,0,"1","0","5",3,4
0,0,-13,1,60,61,18,0,"2","0","9",62,58,10,1,"0","0","8",15,2
1,1,2,1,15,19,13,0,"1","0","5",21,12,12,1,"0","0","4",5,7
0,0,-1,-1,40,29,15,0,"0","0","8",46,25,9,0,"1","1","7",3,4
0,0,-4,1,4,3,12,0,"1","0","8",0,8,12,0,"0","0","4",5,1
1,1,3,-1,48,35,9,0,"1","0","7",48,38,6,1,"0","0","11",4,1
1,1,1,1,66,72,7,0,"1","1","4",80,57,10,2,"1","0","10",4,5
1,1,4,1,13,11,4,0,"0","0","6",11,11,7,0,"1","0","7",0,4
1,0,-3,1,64,84,6,0,"1","0","4",81,67,7,1,"0","0","7",5,2
0,0,-4,-1,8,3,10,1,"3","0","4",7,6,14,0,"0","0","12",4,8
1,0,-2,1,10,7,11,1,"0","0","0",7,10,10,2,"0","0","0",7,5
0,1,2,-1,55,44,7,0,"1","0","7",59,40,3,0,"1","0","9",4,2
1,1,1,-1,66,72,9,1,"2","0","7",77,60,6,0,"1","0","11",2,1
1,0,-3,1,13,4,14,2,"3","1","5",10,7,10,0,"1","2","7",7,4
0,0,-2,1,49,52,5,0,"2","1","6",58,42,6,0,"1","0","11",3,1
1,1,5,1,31,41,4,0,"0","0","10",43,30,11,1,"0","0","8",0,5
1,1,2,1,0,3,9,0,"1","1","7",3,0,8,1,"2","0","12",2,4
1,0,-1,1,63,83,12,1,"1","1","8",80,66,9,0,"0","0","13",7,6
0,0,-7,-1,7,7,12,2,"0","0","3",7,7,16,1,"3","1","5",6,13
1,1,4,1,10,17,9,2,"0","2","5",13,12,9,1,"1","0","6",1,5
1,0,-1,-1,57,46,3,0,"0","0","7",54,50,7,1,"0","0","9",3,4
0,1,2,-1,37,34,7,1,"1","0","8",28,45,5,2,"0","0","6",2,0
1,0,-2,-1,72,75,5,0,"3","0","6",71,76,13,0,"1","0","9",6,8
1,0,-1,1,16,11,6,0,"1","0","11",10,15,4,1,"0","0","4",2,1
0,0,-1,-1,95,64,5,3,"4","0","7",82,77,6,1,"0","0","11",5,6
1,1,4,-1,75,62,9,0,"1","1","6",58,78,2,1,"1","2","10",7,3
0,1,1,-1,73,75,10,0,"0","0","9",71,77,6,0,"0","0","5",2,1
1,0,-4,-1,55,53,12,0,"2","0","5",58,50,13,1,"2","0","5",4,8
0,0,-6,-1,53,39,4,1,"0","0","5",47,46,7,0,"2","2","6",1,7
0,0,-3,1,65,66,10,2,"3","0","10",63,68,8,0,"0","0","7",6,3
1,1,5,1,30,43,5,1,"0","2","4",41,30,11,0,"2","0","11",2,7
1,1,1,1,65,69,7,2,"1","0","7",76,56,11,0,"1","2","6",4,5
1,1,2,1,2,4,8,0,"1","0","4",5,0,11,1,"1","0","12",3,5
1,1,1,-1,75,76,8,0,"2","0","9",78,73,6,0,"0","1","13",4,3
0,1,8,1,8,15,6,1,"0","0","5",12,7,9,0,"0","0","8",0,8
1,0,-2,-1,26,19,5,1,"1","0","13",20,28,6,1,"3","0","15",2,4
1,1,4,1,22,43,4,1,"0","0","5",32,31,5,0,"1","1","11",0,4
1,1,4,-1,56,45,8,0,"1","1","4",53,49,5,0,"0","1","9",4,0
1,0,-2,1,63,46,11,0,"1","0","7",61,46,9,0,"3","0","10",5,3
0,1,2,1,69,65,4,1,"0","0","5",74,61,8,0,"1","0","10",0,2
1,0,-7,1,67,52,13,1,"2","1","4",66,53,4,0,"1","0","4",8,1
1,1,4,-1,26,30,12,0,"2","0","12",27,29,9,2,"0","0","11",7,3
1,1,4,1,30,29,9,0,"0","0","8",35,23,4,0,"0","1","12",0,4
1,0,-3,-1,19,22,6,0,"0","0","6",18,27,11,0,"1","0","4",2,5
0,1,2,1,64,68,8,1,"0","0","7",75,55,9,0,"0","1","4",2,4
1,1,1,1,66,67,13,0,"3","0","6",64,69,9,1,"3","0","9",6,7
0,1,1,1,64,85,6,1,"1","1","6",82,67,8,0,"2","0","11",1,2
1,1,8,1,30,28,10,0,"0","1","6",34,23,11,1,"4","0","8",1,9
0,0,-6,-1,63,67,3,1,"0","0","6",68,61,11,0,"0","2","11",0,6
1,0,-5,1,62,54,17,0,"1","0","12",67,50,10,1,"0","0","10",8,3
0,1,3,1,8,16,7,2,"0","0","6",15,10,5,0,"2","0","9",1,4
0,1,1,1,46,39,10,0,"0","1","9",44,42,9,0,"2","0","9",2,3
1,1,8,1,33,27,9,2,"1","1","4",30,30,16,0,"2","0","11",3,11
1,1,6,-1,4,2,12,1,"1","2","9",4,3,9,1,"0","0","10",11,5
1,0,-5,1,23,17,9,0,"2","0","10",24,15,6,1,"0","0","5",7,2
1,1,8,1,16,7,10,1,"1","2","8",13,8,15,0,"3","0","7",2,10
1,1,10,1,61,53,4,1,"1","0","6",66,49,15,0,"6","0","8",2,12
0,1,7,-1,11,10,14,0,"1","3","5",11,11,7,0,"2","0","12",11,4
0,0,-2,1,1,0,12,1,"3","0","10",0,1,14,1,"0","2","9",8,6
0,1,2,-1,49,35,13,0,"2","0","18",48,39,16,0,"1","0","18",6,4
1,1,3,1,30,27,5,1,"0","0","11",33,23,7,1,"3","0","7",1,4
1,0,-4,-1,13,16,8,0,"1","0","5",20,12,8,0,"2","1","18",2,6
0,1,6,-1,47,30,12,0,"1","0","8",33,46,8,1,"1","0","10",12,6
0,0,-1,-1,58,44,7,1,"1","0","7",58,45,7,2,"3","0","9",5,6
0,1,4,1,59,77,15,1,"0","0","0",79,56,18,0,"0","0","0",8,12
0,0,-5,1,31,20,11,0,"3","0","7",28,21,4,0,"0","0","6",7,2
0,1,1,-1,73,52,8,0,"3","0","10",59,68,6,0,"1","0","9",4,3
0,1,12,-1,4,11,21,0,"5","0","11",8,6,8,1,"0","0","8",16,4
1,1,8,1,11,14,14,1,"1","2","4",8,14,20,0,"4","4","7",8,16
0,0,-5,-1,62,62,5,1,"1","0","5",76,48,13,0,"1","0","8",3,8
1,1,7,1,92,66,5,0,"1","0","5",77,81,11,0,"4","0","11",1,8
0,1,2,-1,27,19,13,0,"1","0","8",25,21,10,0,"2","0","6",6,4
0,0,-2,-1,26,26,7,2,"0","0","9",23,32,5,0,"1","2","12",1,3
0,1,4,-1,7,0,11,0,"3","1","4",3,4,10,0,"1","0","9",9,5
1,1,5,1,2,3,5,0,"1","0","6",4,0,10,0,"4","0","7",1,6
0,1,8,1,33,41,8,1,"0","0","12",41,34,8,0,"3","0","7",0,8
1,1,1,-1,94,63,17,0,"3","0","7",81,76,6,0,"1","1","11",5,4
0,1,1,1,40,30,9,1,"0","1","4",35,32,7,0,"1","0","7",2,3
0,1,1,-1,4,5,12,0,"1","0","5",4,5,10,1,"2","0","12",5,4
0,0,-13,-1,0,1,8,1,"0","0","6",1,0,10,1,"3","1","3",2,15
1,0,-2,1,26,29,16,0,"0","2","9",31,23,8,0,"3","0","5",8,6
0,1,8,-1,10,15,12,0,"2","0","8",14,12,3,0,"2","0","12",10,2
0,0,-7,1,39,38,14,0,"4","0","14",41,35,9,1,"0","0","8",8,1
0,1,2,-1,62,46,16,4,"2","0","7",52,57,10,1,"1","1","4",7,5
1,1,3,-1,70,52,12,1,"2","0","6",62,61,2,1,"0","2","9",4,1
0,1,1,1,63,84,10,2,"2","0","7",81,66,9,1,"2","0","8",4,5
1,0,-1,1,23,25,14,2,"0","0","0",23,22,13,0,"0","0","0",8,7
0,0,-1,-1,7,9,8,0,"2","0","7",9,7,7,0,"1","0","9",6,7
1,1,6,1,37,45,4,2,"0","0","4",43,39,10,1,"4","0","9",1,7
0,1,4,1,23,26,7,1,"1","1","1",24,22,14,0,"2","0","7",4,8
0,1,1,1,68,76,12,1,"1","1","12",71,73,9,0,"2","0","15",5,6
0,0,-5,-1,47,34,12,1,"1","0","8",43,39,10,1,"1","0","6",4,9
0,1,4,-1,55,52,11,0,"1","0","11",48,61,8,0,"0","3","8",7,3
1,1,3,-1,64,50,11,0,"2","0","4",51,64,10,1,"2","0","9",9,6
0,1,1,-1,57,54,7,1,"2","0","9",52,61,5,0,"1","0","7",3,2
0,0,-3,1,12,26,11,0,"2","0","8",20,15,8,0,"0","0","9",5,2
0,1,2,1,40,39,4,1,"2","0","7",42,36,9,0,"2","0","5",2,4
1,1,1,1,27,34,8,1,"1","0","5",29,30,10,0,"3","0","6",5,6
1,0,-1,1,38,23,10,0,"2","2","9",30,29,13,1,"2","0","11",4,3
1,1,4,1,56,39,8,0,"0","0","6",55,40,10,0,"2","0","9",1,5
1,1,2,1,39,32,7,0,"1","0","4",39,28,9,1,"1","0","9",2,4
0,1,1,1,24,25,5,0,"1","0","9",23,24,6,0,"1","0","8",1,2
1,0,-4,-1,65,51,5,0,"0","0","13",66,50,7,0,"1","1","10",2,6
0,1,6,-1,64,48,14,0,"3","1","10",60,54,12,1,"1","0","8",9,3
0,1,2,-1,34,31,8,1,"2","0","9",22,45,9,1,"1","2","9",6,4
1,1,4,-1,36,33,16,0,"2","0","8",37,34,12,1,"3","0","9",13,9
0,0,-1,1,4,6,9,1,"1","2","7",3,10,4,0,"1","1","7",3,2
0,1,1,-1,2,0,6,0,"1","0","11",0,2,5,0,"2","2","5",6,5
1,1,2,1,56,41,7,1,"0","0","11",57,40,7,1,"2","0","6",3,5
1,1,4,1,46,54,8,1,"1","0","8",50,49,9,0,"2","0","4",3,7
1,1,5,1,32,22,12,0,"1","0","4",30,22,11,1,"7","1","6",7,12
1,0,-2,-1,11,8,9,0,"0","0","8",10,10,7,0,"1","2","3",1,3
0,0,-7,-1,0,2,5,0,"0","0","3",1,1,17,3,"2","0","8",3,10
1,1,1,1,10,8,8,0,"2","0","4",8,10,11,1,"2","1","7",4,5
1,1,1,1,0,2,10,0,"2","1","6",2,0,9,0,"1","0","9",6,7
1,0,-9,1,69,76,12,1,"3","0","4",71,74,8,0,"0","0","5",10,1
0,0,-1,-1,46,46,7,0,"0","0","5",51,41,11,0,"0","0","7",2,3
1,1,1,1,49,41,10,1,"1","0","9",50,41,6,0,"1","0","9",3,4
0,0,-1,-1,63,49,3,0,"1","0","4",50,63,6,0,"0","0","6",1,2
1,0,-2,1,64,60,9,0,"1","1","7",67,56,6,1,"2","0","5",5,3
1,1,1,1,64,89,9,2,"0","0","8",83,71,9,0,"3","0","13",2,3
1,0,-2,-1,12,19,11,1,"1","1","3",15,17,10,4,"1","0","6",3,5
0,0,-4,-1,70,57,3,0,"0","1","6",74,53,10,0,"1","2","10",0,4
1,1,2,-1,11,7,10,0,"0","4","8",11,8,6,3,"1","1","6",4,2
1,1,9,-1,3,5,20,0,"3","0","8",4,4,13,0,"2","1","8",14,5
1,0,-2,-1,95,66,4,3,"1","0","3",83,78,6,0,"0","1","5",2,4
1,0,-3,-1,12,8,6,1,"0","0","4",8,13,10,0,"0","1","6",1,4
1,1,5,-1,38,35,9,0,"4","0","6",39,34,7,1,"1","0","8",6,1
1,1,1,-1,52,36,7,0,"2","0","7",34,55,9,0,"0","0","6",4,3
1,0,-1,1,2,0,11,3,"1","0","7",0,2,8,1,"1","0","6",5,4
1,0,-8,-1,70,59,12,0,"3","0","11",67,61,18,0,"3","2","8",5,13
